ROW  COL  TYPE              TOKEN/ERROR MESSAGE
1    1    reserved keyword  PROGRAM           
1    9    reserved keyword  IS                
2    5    reserved keyword  VAR               
2    9    identifier        i                 
2    10   delimiter         ,                 
2    12   identifier        j                 
2    14   delimiter         :                 
2    16   identifier        INTEGER           
2    24   operator          :=                
2    27   interger          1                 
2    28   delimiter         ;                 
3    5    reserved keyword  VAR               
3    9    identifier        x                 
3    11   delimiter         :                 
3    13   identifier        REAL              
3    18   operator          :=                
3    21   real              2.0               
3    24   delimiter         ;                 
4    5    reserved keyword  VAR               
4    9    identifier        y                 
4    11   delimiter         :                 
4    13   identifier        REAL              
4    18   operator          :=                
4    21   real              3.0               
4    24   delimiter         ;                 
5    1    reserved keyword  BEGIN             
6    5    reserved keyword  WRITE             
6    11   delimiter         (                 
6    12   string            "i = "            
6    18   delimiter         ,                 
6    20   identifier        i                 
6    21   delimiter         ,                 
6    23   string            ", j = "          
6    31   delimiter         ,                 
6    33   identifier        j                 
6    34   delimiter         )                 
6    35   delimiter         ;                 
7    5    reserved keyword  WRITE             
7    11   delimiter         (                 
7    12   string            "x = "            
7    18   delimiter         ,                 
7    20   identifier        x                 
7    21   delimiter         ,                 
7    23   string            ", y = "          
7    31   delimiter         ,                 
7    33   identifier        y                 
7    34   delimiter         )                 
7    35   delimiter         ;                 
8    1    reserved keyword  END               
8    4    delimiter         ;                 
The number of tokens are 50
The number of errors are 0
